ZCTA,covid_25to34,covid_35to44,covid_45to54,covid_55to64,covid_65to74,covid_75to84,covid_85up
ZCTA33178,,1,7,9,19,18,14
ZCTA33179,2,2,3,10,29,34,29
ZCTA33180,1,1,1,8,10,19,39
ZCTA33181,,1,3,3,8,4,4
ZCTA33182,,,2,5,6,7,8
ZCTA33183,,2,4,8,24,30,22
ZCTA33184,,1,5,7,16,16,11
ZCTA33185,1,2,4,6,10,23,16
ZCTA33186,1,4,5,13,16,29,32
ZCTA33187,,2,4,6,5,10,3
ZCTA33189,,,1,6,9,21,7
ZCTA33190,,,,3,3,7,3
ZCTA33193,1,3,4,11,18,35,18
ZCTA33194,,,4,,3,1,1
ZCTA33196,,2,5,15,20,22,20
ZCTA33231,,,,,,,1
ZCTA33301,,1,1,,1,4,6
ZCTA33303,,,,,,1,
ZCTA33304,3,6,4,4,12,11,5
ZCTA33305,1,1,6,1,1,6,8
ZCTA33306,,,1,1,2,2,1
ZCTA33308,1,,1,4,9,20,18
ZCTA33309,3,5,9,11,9,14,12
ZCTA33310,1,,,,,,
ZCTA33311,8,14,21,46,53,49,38
ZCTA33312,3,8,12,12,27,20,10
ZCTA33313,5,8,10,38,39,32,27
ZCTA33314,1,1,3,13,7,11,3
ZCTA33315,,,,6,5,6,2
ZCTA33316,1,1,2,2,5,5,8
ZCTA33317,,2,5,9,13,8,15
ZCTA33319,1,8,9,28,35,34,32
ZCTA33321,1,8,3,16,24,38,46
ZCTA33322,,2,4,7,18,39,36
ZCTA33323,,,3,4,8,6,5
ZCTA33324,2,,3,8,8,14,16
ZCTA33325,,2,3,6,10,13,6
ZCTA33326,,3,2,3,8,13,12
ZCTA33327,,,2,1,6,4,5
ZCTA33328,,1,4,6,8,8,10
ZCTA33330,,1,1,4,1,5,7
ZCTA33331,,,1,,3,6,4
ZCTA33332,,1,,1,2,5,3
ZCTA33334,,3,12,10,9,13,5
ZCTA33351,,2,3,16,15,16,15
ZCTA33401,,2,4,7,15,19,21
ZCTA33403,1,1,1,5,8,4,9
ZCTA33404,2,3,9,16,23,24,13
ZCTA33405,2,,4,4,10,10,14
ZCTA33406,,4,3,9,12,12,12
ZCTA33407,3,5,9,18,21,22,10
ZCTA33408,,,,1,1,11,12
ZCTA33409,1,2,4,10,15,9,13
ZCTA33410,1,2,1,7,10,5,28
ZCTA33411,3,5,6,15,22,27,27
ZCTA33412,,1,2,1,6,8,5
ZCTA33413,,,1,3,5,7,2
ZCTA33414,,5,5,7,12,24,18
ZCTA33415,2,3,6,14,26,33,30
ZCTA33417,1,7,3,10,11,32,36
ZCTA33418,,1,,4,12,12,26
ZCTA33424,,,,1,,,
ZCTA33426,,,4,6,5,16,21
ZCTA33428,2,3,6,6,8,12,26
ZCTA33430,1,7,10,17,13,17,13
ZCTA33431,,,2,2,6,15,23
ZCTA33432,,3,1,2,5,12,14
ZCTA33433,1,1,3,8,8,29,70
ZCTA33434,,,2,5,7,22,24
ZCTA33435,2,4,14,13,25,26,16
ZCTA33436,1,4,3,8,19,18,31
ZCTA33437,1,,1,3,14,37,54
ZCTA33438,,,2,,,,1
ZCTA33440,,2,8,9,17,16,6
ZCTA33441,,4,2,11,12,23,6
ZCTA33442,,2,5,6,10,28,28
ZCTA33444,3,10,5,9,10,19,8
ZCTA33445,3,2,2,5,14,30,20
ZCTA33446,,,1,2,21,39,46
ZCTA33449,,,1,,3,5,7
ZCTA33454,,,,,,,1
ZCTA33455,1,,1,5,14,19,26
ZCTA33458,,,1,,,,1
ZCTA33458,,5,4,7,11,20,20
ZCTA33460,5,4,9,14,18,25,13
ZCTA33461,2,5,9,17,28,25,18
ZCTA33462,1,4,4,14,21,25,32
ZCTA33463,,9,9,23,24,32,22
ZCTA33464,,1,,1,,,
ZCTA33467,3,2,4,14,27,36,36
ZCTA33469,,,,,2,7,3
ZCTA33469,1,,,,6,4,5
ZCTA33470,2,,5,9,9,13,3
ZCTA33471,,,4,1,4,4,3
ZCTA33472,,,2,2,5,12,9
ZCTA33473,,,,,2,1,1
ZCTA33476,6,,4,3,8,6,3
ZCTA33477,,,,1,1,9,12
ZCTA33478,,,,,,,1
ZCTA33478,,1,2,1,4,1,3
ZCTA33480,,1,,,1,11,17
ZCTA33482,,,,,,,1
ZCTA33483,,,1,2,9,11,7
ZCTA33484,,1,,5,15,38,59
ZCTA33486,,1,4,5,4,10,17
ZCTA33487,1,,,1,4,11,15
ZCTA33493,,2,1,4,3,2,2
ZCTA33496,,,3,2,8,15,25
ZCTA33498,,1,1,1,2,2,6
ZCTA33510,,4,3,8,6,12,12
ZCTA33511,1,1,9,7,18,24,15
ZCTA33513,1,,3,9,7,2,10
ZCTA33514,,,,,2,1,2
ZCTA33521,,1,,,,,
ZCTA33523,,1,,1,3,1,
ZCTA33523,1,,2,4,4,9,2
ZCTA33525,,3,5,6,20,27,13
ZCTA33527,,,4,2,5,7,5
ZCTA33534,1,2,2,2,4,6,3
ZCTA33538,,,3,,5,4,5
ZCTA33540,,2,1,2,5,5,7
ZCTA33541,1,,2,5,14,22,16
ZCTA33542,1,,3,8,10,18,12
ZCTA33543,,2,4,2,9,10,8
ZCTA33544,,,1,6,3,7,5
ZCTA33545,1,1,2,,5,3,1
ZCTA33547,,1,1,4,6,10,2
ZCTA33548,,,,1,1,2,2
ZCTA33549,2,,2,4,5,10,10
ZCTA33549,,,,,3,1,
ZCTA33556,,,,1,3,4,5
ZCTA33556,,,1,2,,2,2
ZCTA33558,,,2,,4,6,7
ZCTA33558,,,,1,,1,3
ZCTA33559,,,,1,1,2,3
ZCTA33559,,1,,,,3,1
ZCTA33563,1,3,3,11,19,17,10
ZCTA33565,1,2,2,5,10,13,5
ZCTA33566,2,1,4,5,17,13,7
ZCTA33567,,,1,8,5,3,5
ZCTA33569,2,1,1,4,7,13,7
ZCTA33570,1,1,3,4,6,9,10
ZCTA33572,,,1,5,12,4,4
ZCTA33573,,,,3,13,36,41
ZCTA33576,,,,1,1,3,1
ZCTA33578,,,3,8,8,15,10
ZCTA33579,,,3,5,5,10,8
ZCTA33584,1,,6,6,16,15,3
ZCTA33586,,,,,,1,
ZCTA33592,,1,3,4,2,10,1
ZCTA33593,,,,,,,1
ZCTA33594,,1,2,7,20,16,5
ZCTA33595,,,,1,1,,
ZCTA33596,,1,,8,7,10,7
ZCTA33597,,,,,1,1,
ZCTA33597,,,,,,2,
ZCTA33597,,,2,2,6,4,6
ZCTA33598,1,3,3,10,11,10,3
ZCTA33601,,,,,,,1
ZCTA33602,1,,1,5,6,5,4
ZCTA33603,3,,2,2,10,9,8
ZCTA33604,3,1,4,14,20,19,12
ZCTA33605,1,5,9,9,12,18,2
ZCTA33606,,,,1,5,3,6
ZCTA33607,2,2,4,9,15,16,21
ZCTA33609,1,2,6,1,5,15,5
ZCTA33610,2,3,8,18,23,28,18
ZCTA33611,1,2,2,3,13,15,14
ZCTA33612,1,5,9,17,25,24,18
ZCTA33613,,1,7,13,13,25,18
ZCTA33614,,5,9,10,20,32,28
ZCTA33615,2,3,2,14,20,29,24
ZCTA33616,,,2,2,7,1,4
ZCTA33617,1,3,6,10,16,22,15
ZCTA33618,1,4,1,3,14,11,11
ZCTA33619,2,2,5,6,16,8,9
ZCTA33621,,,,,1,,
ZCTA33624,1,4,,7,11,14,13
ZCTA33625,,1,,5,12,4,10
ZCTA33626,,,,2,3,7,15
ZCTA33629,1,,1,,4,15,12
ZCTA33634,,,4,6,6,9,10
ZCTA33635,1,1,2,5,6,8,1
ZCTA33637,,,1,5,6,5,8
ZCTA33647,,1,6,9,15,16,13
ZCTA33688,,,,1,,,
ZCTA33701,2,,3,2,6,6,10
ZCTA33702,2,2,7,8,10,15,13
ZCTA33703,1,1,2,2,4,10,10
ZCTA33704,1,2,1,1,1,6,9
ZCTA33705,,3,3,11,12,19,7
ZCTA33706,,1,,3,10,11,10
ZCTA33707,,,,10,18,31,33
ZCTA33708,,,2,3,9,11,11
ZCTA33709,,,5,11,15,15,25
ZCTA33710,1,4,5,8,14,22,23
ZCTA33711,3,2,3,5,9,7,8
ZCTA33712,2,2,4,10,17,19,12
ZCTA33713,,1,4,9,10,10,12
ZCTA33714,,,1,6,4,11,5
ZCTA33715,,1,,,,,
ZCTA33715,,,,1,4,,6
ZCTA33716,1,,2,,3,5,10
ZCTA33733,,,,1,,1,
ZCTA33755,1,,1,6,10,6,7
ZCTA33756,1,2,1,8,13,17,29
ZCTA33759,,1,,1,6,5,12
ZCTA33760,,,1,4,4,3,2
ZCTA33761,,1,,3,10,5,11
ZCTA33762,,,1,1,3,1,1
ZCTA33763,,,2,3,4,12,8
ZCTA33764,,1,4,6,9,15,13
ZCTA33765,,,,6,6,3,5
ZCTA33767,,1,1,1,4,4,5
ZCTA33770,1,,1,6,14,7,20
ZCTA33771,,,3,5,20,24,23
ZCTA33772,,,,2,9,10,28
ZCTA33773,1,,2,4,3,4,7
ZCTA33774,,,4,6,5,20,13
ZCTA33776,,1,3,4,7,5,9
ZCTA33777,2,2,1,4,12,5,5
ZCTA33778,1,1,3,3,6,15,10
ZCTA33781,1,1,7,5,12,15,5
ZCTA33782,,,4,13,19,19,20
ZCTA33785,,,,1,1,3,4
ZCTA33801,,2,5,18,19,24,13
ZCTA33802,,,,,,1,
ZCTA33803,,,4,7,19,28,13
ZCTA33805,4,2,3,15,32,21,22
ZCTA33809,1,3,3,13,19,25,24
ZCTA33810,1,3,7,12,34,37,27
ZCTA33811,,,6,4,10,10,9
ZCTA33812,,,2,3,4,5,3
ZCTA33813,1,2,3,8,12,25,20
ZCTA33815,1,3,1,7,9,19,3
ZCTA33820,,,,1,,,
ZCTA33823,1,1,5,14,21,24,17
ZCTA33825,1,,2,11,17,26,20
ZCTA33825,,,,1,,,
ZCTA33826,,,,,1,,1
ZCTA33827,,,2,3,,3,2
ZCTA33830,2,1,2,10,20,16,14
ZCTA33834,,,1,1,,6,1
ZCTA33835,,,,,1,,
ZCTA33836,,,,1,1,,
ZCTA33837,,1,6,10,18,19,9
ZCTA33838,1,1,,2,2,5,1
ZCTA33839,,,,1,2,2,2
ZCTA33841,,,2,3,6,4,4
ZCTA33843,,1,2,5,11,12,3
ZCTA33844,4,4,8,10,30,36,14
ZCTA33848,,,,,2,1,1
ZCTA33849,,,,,,1,
ZCTA33850,,,3,7,8,4,2
ZCTA33851,,,,,1,1,1
ZCTA33852,1,,4,5,16,26,21
ZCTA33853,4,1,2,6,17,7,6
ZCTA33855,,,,1,2,1,
ZCTA33856,,,,,,,2
ZCTA33857,,,1,1,3,1,
ZCTA33859,,2,,7,6,7,4
ZCTA33860,,,4,9,10,18,3
ZCTA33863,,1,,,1,,
ZCTA33865,,,,,1,,2
ZCTA33868,,1,1,4,4,4,4
ZCTA33870,3,,2,11,26,25,20
ZCTA33872,,2,2,5,14,27,11
ZCTA33873,3,1,3,7,12,8,3
ZCTA33873,,,,,,1,
ZCTA33875,,1,2,4,4,13,8
ZCTA33876,,,,2,8,5,3
ZCTA33877,,,,1,1,,
ZCTA33880,2,6,10,13,22,27,20
ZCTA33881,3,2,7,12,39,36,40
ZCTA33884,,1,5,5,11,16,17
ZCTA33890,,,,4,1,5,
ZCTA33896,,,,2,1,,2
ZCTA33896,,1,3,3,4,2,2
ZCTA33897,,1,1,3,10,6,3
ZCTA33898,,,1,3,15,13,2
ZCTA33901,,1,1,7,7,18,20
ZCTA33903,,1,1,6,18,21,15
ZCTA33904,,1,3,7,21,23,16
ZCTA33905,1,6,3,12,9,22,15
ZCTA33907,,1,3,2,10,12,19
ZCTA33908,,2,1,6,10,22,41
ZCTA33909,,1,7,4,14,13,6
ZCTA33910,,,,,,,1
ZCTA33912,,,,1,9,11,14
ZCTA33913,,,,1,3,5,4
ZCTA33914,2,,2,7,9,14,18
ZCTA33916,1,7,4,14,10,12,7
ZCTA33917,,2,4,6,18,21,19
ZCTA33918,,,,,1,,
ZCTA33919,1,3,1,5,19,18,15
ZCTA33920,,1,,,4,3,3
ZCTA33921,,,,,2,1,1
ZCTA33922,,,,1,3,3,3
ZCTA33928,,1,,3,10,12,9
ZCTA33930,,,1,,,,1
ZCTA33931,,1,1,1,10,5,10
ZCTA33935,,,1,,,,2
ZCTA33935,1,1,2,8,10,13,4
ZCTA33935,,,,1,,,
ZCTA33936,1,1,2,16,12,10,15
ZCTA33944,,,,,,,1
ZCTA33946,,,,,1,2,1
ZCTA33947,,,2,,7,5,3
ZCTA33948,,2,1,6,9,16,15
ZCTA33950,,4,,7,18,26,22
ZCTA33952,,4,4,16,17,28,28
ZCTA33953,,,,,3,4,4
ZCTA33954,,,2,3,6,7,16
ZCTA33955,,,1,1,7,7,2
ZCTA33956,,,,1,,4,2
ZCTA33957,,,,,2,2,7
ZCTA33966,,,,2,4,4,2
ZCTA33967,,1,1,5,5,4,3
ZCTA33971,,3,5,2,10,13,4
ZCTA33972,,1,,3,6,2,
ZCTA33973,,,1,1,2,4,
ZCTA33974,,2,1,5,5,4,3
ZCTA33976,,,1,2,4,,2
ZCTA33980,,2,2,2,13,21,31
ZCTA33981,,1,1,4,10,9,4
ZCTA33982,1,1,1,4,2,9,8
ZCTA33983,,,,2,10,16,15
ZCTA33990,1,1,3,4,8,6,12
ZCTA33991,,,3,5,9,11,14
ZCTA33993,,2,1,6,7,7,4
ZCTA34101,,,,1,,,1
ZCTA34102,,,,4,3,7,5
ZCTA34103,,,1,1,4,9,16
ZCTA34104,1,3,2,7,16,19,12
ZCTA34105,,,,2,4,10,8
ZCTA34108,,,2,2,2,11,11
ZCTA34109,,2,3,1,6,16,25
ZCTA34110,,,,2,4,24,36
ZCTA34110,,,,,,1,
ZCTA34112,,2,2,4,13,21,15
ZCTA34113,,2,2,3,4,14,22
ZCTA34114,1,1,,7,9,9,5
ZCTA34116,4,2,5,10,13,15,7
ZCTA34117,1,,4,5,7,8,4
ZCTA34119,,1,3,4,6,13,16
ZCTA34120,,2,6,7,4,10,9
ZCTA34134,,,,,,1,3
ZCTA34134,,,,2,2,11,11
ZCTA34135,,2,4,6,15,23,21
ZCTA34141,,,1,1,1,1,
ZCTA34142,1,1,4,11,24,11,8
ZCTA34142,,,,1,,,
ZCTA34145,,,1,1,6,7,9
ZCTA34201,,,,1,,3,
ZCTA34202,,,,2,5,9,13
ZCTA34203,2,2,6,17,19,27,13
ZCTA34204,,,,,1,,
ZCTA34205,4,4,6,9,16,22,26
ZCTA34207,1,2,4,12,16,21,19
ZCTA34208,1,5,3,23,18,32,11
ZCTA34209,1,1,4,6,23,35,32
ZCTA34210,,,2,2,6,10,12
ZCTA34211,,,,1,3,7,9
ZCTA34212,,,2,4,5,5,3
ZCTA34215,,,,1,,,
ZCTA34217,,,1,,1,1,2
ZCTA34219,1,,2,5,6,14,2
ZCTA34221,4,11,6,14,34,35,23
ZCTA34222,,1,2,3,6,13,15
ZCTA34223,,,,,2,2,
ZCTA34223,,,,6,3,24,8
ZCTA34224,,,2,1,7,11,13
ZCTA34224,,,,,1,1,1
ZCTA34228,,,,,2,1,4
ZCTA34228,,,,1,,4,2
ZCTA34229,,,,,4,1,4
ZCTA34231,,2,1,2,10,17,27
ZCTA34232,2,2,2,8,8,15,30
ZCTA34233,1,,3,5,5,18,20
ZCTA34234,1,8,4,10,10,15,11
ZCTA34235,,2,2,3,,11,15
ZCTA34236,1,5,1,4,3,16,5
ZCTA34237,2,4,5,5,5,5,13
ZCTA34238,,1,1,2,4,20,19
ZCTA34239,1,2,4,3,9,15,15
ZCTA34240,1,,1,,7,5,10
ZCTA34241,,1,1,2,5,7,1
ZCTA34242,,1,,1,2,4,3
ZCTA34243,1,3,4,3,5,8,5
ZCTA34243,,,,2,5,7,4
ZCTA34251,,1,1,,1,,2
ZCTA34266,1,3,8,12,28,21,9
ZCTA34269,,,,1,3,2,7
ZCTA34275,,2,,1,5,16,12
ZCTA34285,1,1,1,2,8,19,26
ZCTA34286,,,3,4,15,15,4
ZCTA34287,,2,3,7,20,27,28
ZCTA34288,,,1,5,3,5,2
ZCTA34289,,,,,,3,1
ZCTA34291,,,1,4,4,2,
ZCTA34292,,1,,3,5,12,17
ZCTA34293,2,6,2,8,17,33,29
ZCTA34420,1,1,4,8,12,15,6
ZCTA34421,,,,,,1,
ZCTA34428,,,,4,6,8,7
ZCTA34429,1,1,1,3,9,3,11
ZCTA34430,,,,,,,1
ZCTA34431,,,,,,1,
ZCTA34431,,,1,1,5,7,6
ZCTA34432,1,2,1,4,13,12,12
ZCTA34433,,,1,5,4,7,1
ZCTA34433,,,,1,,,2
ZCTA34434,,,2,3,9,7,4
ZCTA34434,,,1,,,1,
ZCTA34436,,,,3,4,6,3
ZCTA34442,,1,1,2,13,7,7
ZCTA34446,,2,1,7,12,26,17
ZCTA34448,,1,,2,15,10,6
ZCTA34449,,,1,,6,7,3
ZCTA34450,2,,1,3,5,8,2
ZCTA34452,1,,,7,17,15,10
ZCTA34453,,,,1,5,18,8
ZCTA34461,,,,3,10,18,10
ZCTA34465,2,1,2,2,9,20,18
ZCTA34470,,1,1,9,17,18,13
ZCTA34471,1,1,6,10,14,24,29
ZCTA34472,,2,5,8,16,25,17
ZCTA34473,1,2,6,6,13,21,10
ZCTA34474,1,1,4,6,15,11,17
ZCTA34475,,,4,3,10,10,5
ZCTA34476,,,3,7,15,26,27
ZCTA34478,,,,,1,,
ZCTA34479,,1,,4,5,13,7
ZCTA34480,1,3,5,7,8,14,9
ZCTA34481,2,,,9,23,38,38
ZCTA34482,2,1,1,9,13,21,15
ZCTA34484,,,3,1,3,7,5
ZCTA34488,1,1,2,9,11,10,11
ZCTA34491,1,,5,8,24,30,20
ZCTA34498,,,,,,,1
ZCTA34601,,2,2,13,13,25,21
ZCTA34602,1,,2,,3,10,
ZCTA34604,,,,2,4,6,1
ZCTA34606,,1,4,5,19,32,34
ZCTA34607,,1,,5,7,7,4
ZCTA34608,,1,7,8,34,25,10
ZCTA34609,1,2,4,10,18,31,16
ZCTA34610,,1,,4,5,7,1
ZCTA34613,,,1,6,14,35,14
ZCTA34614,,,2,2,6,3,1
ZCTA34637,,,,1,5,2,2
ZCTA34638,,,2,1,5,4,4
ZCTA34639,1,,1,,5,10,6
ZCTA34652,1,3,4,11,12,19,10
ZCTA34653,,2,2,11,26,32,24
ZCTA34654,1,,6,5,12,24,9
ZCTA34655,,,4,8,17,30,14
ZCTA34667,1,,4,11,25,36,27
ZCTA34668,,2,3,15,28,36,27
ZCTA34669,,,,10,5,10,4
ZCTA34677,,,,,,,1
ZCTA34677,2,,3,3,4,4,5
ZCTA34681,,,,,,,1
ZCTA34682,,,,,1,,
ZCTA34683,,1,4,3,12,13,5
ZCTA34684,,,3,4,10,24,28
ZCTA34685,,,2,,8,9,3
ZCTA34688,,,,1,,,
ZCTA34688,,,2,2,1,3,7
ZCTA34689,,,2,11,18,32,22
ZCTA34690,,,5,4,7,9,4
ZCTA34691,1,3,1,4,14,11,5
ZCTA34695,,1,2,2,8,3,11
ZCTA34698,,,3,7,18,23,21
ZCTA34705,,,1,,2,,1
ZCTA34711,1,2,9,11,17,23,22
ZCTA34714,1,,1,2,6,6,1
ZCTA34715,1,2,4,2,1,5,7
ZCTA34731,1,,2,4,5,5,3
ZCTA34734,,,,1,3,3,
ZCTA34736,,,,2,7,10,7
ZCTA34737,,1,,1,,4,1
ZCTA34739,1,,,,1,,
ZCTA34741,1,4,10,20,23,20,19
ZCTA34743,,2,5,15,26,25,22
ZCTA34744,1,3,4,15,29,20,12
ZCTA34746,1,3,3,8,22,25,21
ZCTA34747,,2,4,1,4,4,
ZCTA34748,1,5,7,19,30,44,35
ZCTA34753,,,,5,2,2,3
ZCTA34755,,,,,1,,1
ZCTA34756,,,,,1,2,1
ZCTA34758,,3,4,13,19,22,15
ZCTA34759,,,2,3,6,4,5
ZCTA34759,,1,3,3,12,11,5
ZCTA34760,,,,1,1,1,
ZCTA34761,1,,6,13,20,16,15
ZCTA34762,,,,,1,1,
ZCTA34769,,2,2,9,11,19,6
ZCTA34770,,,,,,,1
ZCTA34771,,,2,5,6,4,9
ZCTA34772,,1,3,8,12,13,6
ZCTA34773,,,,,2,1,1
ZCTA34785,,2,1,4,9,13,10
ZCTA34786,,,1,1,5,12,3
ZCTA34787,1,1,7,7,9,23,24
ZCTA34788,1,,1,7,8,16,5
ZCTA34789,,,,,,,1
ZCTA34797,,,,,1,,1
ZCTA34945,1,,1,3,1,3,1
ZCTA34946,,1,1,5,7,3,6
ZCTA34947,1,2,5,4,8,7,8
ZCTA34949,,,,,5,6,5
ZCTA34950,3,1,3,12,17,20,12
ZCTA34951,,,,4,7,19,13
ZCTA34952,1,,6,11,26,44,45
ZCTA34953,,5,8,18,32,28,20
ZCTA34956,,2,4,5,10,7,4
ZCTA34957,2,1,1,3,5,13,11
ZCTA34957,,,,,3,2,1
ZCTA34972,3,1,5,13,13,8,13
ZCTA34974,1,,1,2,,1,1
ZCTA34974,,1,3,8,12,18,9
ZCTA34981,,,1,,3,4,3
ZCTA34982,,7,4,9,14,16,19
ZCTA34983,1,1,2,15,20,37,19
ZCTA34984,1,1,1,6,7,12,5
ZCTA34986,,2,3,3,9,13,24
ZCTA34987,,,1,1,6,3,7
ZCTA34990,,,2,2,7,14,22
ZCTA34990,,,,,1,,
ZCTA34992,,,,,,,1
ZCTA34994,1,1,3,2,8,16,23
ZCTA34995,,,,,1,,
ZCTA34996,,,,,11,3,6
ZCTA34997,1,2,2,8,15,25,32
